         1274180 function calls (1173500 primitive calls) in 264.162 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      886    0.002    0.000    0.049    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\sslproto.py:699(_do_write)
4047/1832    0.007    0.000    0.048    0.000 {method 'join' of 'str' objects}
 2658/443    0.003    0.000    0.048    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_repr.py:62(__repr_str__)
     2017    0.005    0.000    0.046    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\proactor_events.py:375(_loop_writing)
15948/3987    0.014    0.000    0.045    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_repr.py:63(<genexpr>)
     4071    0.003    0.000    0.044    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\logging\__init__.py:942(format)
83974/46382    0.021    0.000    0.044    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\json\encoder.py:334(_iterencode_dict)
     1072    0.003    0.000    0.043    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\proactor_events.py:337(write)
     4071    0.006    0.000    0.041    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\logging\__init__.py:674(format)
      249    0.000    0.000    0.040    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\connector.py:965(_create_connection)
      249    0.001    0.000    0.040    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\connector.py:1277(_create_direct_connection)
     54/2    0.000    0.000    0.039    0.019 <frozen importlib._bootstrap>:1165(_find_and_load)
     54/2    0.000    0.000    0.039    0.019 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    12231    0.009    0.000    0.038    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\logging\__init__.py:194(_is_internal_frame)
      443    0.004    0.000    0.038    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\http_writer.py:121(write_headers)
     45/2    0.000    0.000    0.038    0.019 <frozen importlib._bootstrap>:666(_load_unlocked)
     4077    0.038    0.000    0.038    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     45/2    0.000    0.000    0.037    0.019 <frozen importlib._bootstrap_external>:934(exec_module)
    100/4    0.000    0.000    0.037    0.009 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     75/2    0.002    0.000    0.037    0.018 {built-in method builtins.exec}
        1    0.000    0.000    0.037    0.037 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\httpcore\__init__.py:1(<module>)
      186    0.001    0.000    0.036    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\connector.py:1060(_wrap_create_connection)
     1072    0.004    0.000    0.036    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\windows_events.py:570(send)
 2215/886    0.003    0.000    0.035    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\main.py:1201(__repr__)
     4071    0.003    0.000    0.035    0.000 <frozen ntpath>:243(basename)
      443    0.004    0.000    0.033    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_reqrep.py:1185(json)
     4088    0.017    0.000    0.032    0.000 <frozen ntpath>:209(split)
      886    0.007    0.000    0.032    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_reqrep.py:988(start)
      443    0.019    0.000    0.030    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_proto.py:241(data_received)
    12231    0.013    0.000    0.029    0.000 <frozen ntpath>:52(normcase)
      443    0.001    0.000    0.028    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_reqrep.py:621(write_bytes)
      443    0.001    0.000    0.028    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\main.py:243(__init__)
      148    0.001    0.000    0.027    0.000 F:\UPC\暑期实践\2025\graph-of-thoughts\graph_of_thoughts\language_models\chatgpt.py:113(_async_query)
      4/2    0.000    0.000    0.027    0.013 {built-in method builtins.__import__}
        1    0.000    0.000    0.027    0.027 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\httpcore\_api.py:1(<module>)
      490    0.011    0.000    0.026    0.000 f:\UPC\暑期实践\2025\graph-of-thoughts\examples\keyword_counting\keyword_counting.py:94(num_errors)
     5637    0.006    0.000    0.026    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\base_events.py:752(call_soon)
      443    0.005    0.000    0.026    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_reqrep.py:261(__init__)
        1    0.000    0.000    0.025    0.025 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\httpcore\_sync\__init__.py:1(<module>)
      443    0.000    0.000    0.024    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\payload.py:245(write)
     1027    0.001    0.000    0.024    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\ssl.py:912(read)
      443    0.001    0.000    0.024    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\http_writer.py:78(write)
     4113    0.023    0.000    0.023    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1027    0.023    0.000    0.023    0.000 {method 'read' of '_ssl._SSLSocket' objects}
      124    0.000    0.000    0.022    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohappyeyeballs\impl.py:25(start_connection)
      124    0.000    0.000    0.022    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohappyeyeballs\impl.py:139(_connect_sock)
    15948    0.018    0.000    0.022    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\main.py:1204(__repr_args__)
      886    0.001    0.000    0.021    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\streams.py:173(on_eof)
     1677    0.003    0.000    0.021    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\json\__init__.py:299(loads)
        1    0.000    0.000    0.020    0.020 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\httpcore\_sync\connection.py:1(<module>)
      443    0.019    0.000    0.020    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
      443    0.002    0.000    0.020    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_reqrep.py:1039(_response_eof)
      124    0.000    0.000    0.020    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\proactor_events.py:725(sock_connect)
92892/91870    0.013    0.000    0.020    0.000 {built-in method builtins.isinstance}
       62    0.001    0.000    0.020    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\windows_events.py:618(connect)
     1072    0.020    0.000    0.020    0.000 {method 'WSASend' of '_overlapped.Overlapped' objects}
      443    0.002    0.000    0.019    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\payload.py:386(__init__)
      668    0.004    0.000    0.019    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\windows_events.py:481(recv_into)
     5637    0.009    0.000    0.019    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\base_events.py:781(_call_soon)
     4071    0.018    0.000    0.019    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\logging\__init__.py:368(getMessage)
     4071    0.004    0.000    0.017    0.000 <frozen ntpath>:232(splitext)
     1772    0.001    0.000    0.017    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_reqrep.py:1101(_release_connection)
     1677    0.004    0.000    0.017    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\json\decoder.py:332(decode)
     1881    0.008    0.000    0.017    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\windows_events.py:765(_register)
       51    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      443    0.002    0.000    0.016    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\connector.py:187(release)
      443    0.003    0.000    0.016    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\cookiejar.py:175(update_cookies)
       51    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
       51    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
       62    0.015    0.000    0.015    0.000 {method 'ConnectEx' of '_overlapped.Overlapped' objects}
      121    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
       62    0.001    0.000    0.015    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\sslproto.py:568(_on_handshake_complete)
     2500    0.004    0.000    0.014    0.000 {function _OverlappedFuture.set_result at 0x0000025ECB0862A0}
        1    0.000    0.000    0.014    0.014 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\httpcore\_sync\http11.py:1(<module>)
      244    0.014    0.000    0.014    0.000 {built-in method nt.stat}
      235    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       97    0.000    0.000    0.013    0.000 F:\UPC\暑期实践\2025\graph-of-thoughts\graph_of_thoughts\operations\operations.py:679(_execute)
     1810    0.003    0.000    0.013    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\windows_events.py:91(set_result)
      124    0.000    0.000    0.012    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\base_events.py:988(create_connection)
     4071    0.008    0.000    0.012    0.000 <frozen genericpath>:121(_splitext)
        1    0.000    0.000    0.012    0.012 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\h11\__init__.py:1(<module>)
       41    0.001    0.000    0.012    0.000 F:\UPC\暑期实践\2025\graph-of-thoughts\graph_of_thoughts\operations\operations.py:311(_execute)
      124    0.000    0.000    0.012    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\base_events.py:1125(_create_connection_transport)
     4147    0.010    0.000    0.012    0.000 <frozen ntpath>:155(splitdrive)
       62    0.000    0.000    0.011    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\sslproto.py:382(connection_made)
      451    0.011    0.000    0.011    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\json\encoder.py:205(iterencode)
       62    0.000    0.000    0.011    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\sslproto.py:533(_start_handshake)
      443    0.002    0.000    0.011    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\connector.py:669(_release)
